Designator,Footprint,Quantity,Value,LCSC Part #
BUZZER1,BUZ-SMD_4P-L8.5-W8.5-P8.50-BR,1,MLT-8530,C94599
"C1, C2",0402,2,100nF,
"D1, D2, D3, D4",0805,4,KT-0805G,
D5,D_SOD-323,1,1N4148WS,
D6,0603,1,KT-0603R,
J1,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04_Pin,
J2,CONN-TH_2P-P5.08_JL500-50002G01,1,Screw_Terminal_01x02,C709041
J3,PinHeader_1x07_P2.54mm_Vertical,1,Conn_01x07_Pin,
"Q1, Q2",SOT-23,2,AO3400A,
Q4,DFN-8_L5.8-W4.9-P1.27-LS6.1-BL-2,1,E030P4P0HL1,C29781150
"R1, R2, R3, R4",0402,4,100Ω,
"R10, R13, R6, R8",0402,4,100kΩ,
"R11, R12",0402,2,330Ω,
R5,0402,1,10kΩ,
"R7, R9",0402,2,51kΩ,
SW2,SW-TH_6P-L7.0-W7.0-P2.00,1,PS-7054DVB-6PN,C22363820
TP1,TestPoint_Pad_1.5x1.5mm,1,TestPoint,
