Designator,Mid X,Mid Y,Rotation,Layer
BUZZER1,68.4,-59.6,180.0,top
C1,91.7,-60.0,0.0,top
C2,91.7,-58.0,0.0,top
D1,90.0,-63.75,180.0,top
D2,97.0,-63.75,180.0,top
D3,104.0,-63.75,180.0,top
D4,111.0,-63.75,180.0,top
D5,68.95,-54.0,180.0,top
D6,116.0,-61.0,270.0,top
J1,97.6,-55.75,90.0,top
J2,110.0,-57.8,180.0,top
J3,82.62,-55.75,90.0,top
Q1,72.5625,-52.0,180.0,top
Q2,88.95,-59.5375,90.0,top
Q4,100.15,-60.01,180.0,top
R1,83.49,-61.25,0.0,top
R10,94.75,-62.25,180.0,top
R11,115.8,-55.8,90.0,top
R12,115.8,-53.8,90.0,top
R13,83.0,-62.4,180.0,top
R2,83.49,-60.25,0.0,top
R3,83.49,-59.25,0.0,top
R4,83.49,-58.25,0.0,top
R5,71.75,-54.2,180.0,top
R6,93.71,-61.0,0.0,top
R7,91.7,-61.0,0.0,top
R8,93.71,-59.0,0.0,top
R9,91.7,-59.0,0.0,top
SW2,78.0,-61.5,180.0,top
TP1,85.99,-61.75,0.0,top
